start	end	text
0	780	开窗通风
780	2240	保持空气流通
2240	3160	别闷着
3160	5320	闷着热血更散不出去
5320	5960	二
5960	7180	多喝温水
7180	8660	少量多次喝
8660	10220	及时给身体补水
10220	12260	缓解口渴和大便干
12260	12840	三
12840	14480	饮食一定要清淡
14480	17040	别吃辛辣油炸的东西
17040	19540	还有那些容易上火的灶热食物
19540	20820	越吃越严重
20820	21440	四
21440	23120	暂时把烟酒戒掉
23120	25160	温补类的食物也别碰
25160	27200	不然会加重体内的热
27200	28140	最后
28140	29840	给大家画个重点
29840	32160	记不住的可以多看两遍
32160	33000	病因
33000	34800	风加热一起入侵
34800	35860	废气不顺
35860	36680	症状
36680	37400	发热
37400	38200	口渴
38200	39080	喉咙痛
39080	39940	咳黄痰
39940	40820	硫磺痰
40820	41560	心烦
41560	42320	调理
42320	43520	舒风清热
43520	44440	用桑叶
44440	45180	菊花
45180	45880	薄荷
45880	46900	清淡饮食
46900	47720	多喝水
47720	48460	禁忌
48460	49600	辛辣刺激
49600	50360	烟酒
50360	51740	温补燥热食物
