start	end	text
0	1900	只要你出现这些情况
1900	4000	基本就是风热症没跑了
4000	5480	对付风热症
5480	6860	记住一个核心
6860	8160	舒风清热
8160	10600	就是把身体里的风散出去
10600	11820	把热清掉
11820	14560	不舒服的感觉自然就缓解了
14560	16880	日常生活中有着几样
16880	18900	用来调理特别方便
18900	19660	记好了
19660	21180	一 桑叶
21180	22340	能散风热
22340	23880	还能滋润肺部
23880	25000	缓解咳嗽
25000	26320	二 菊花
26320	27800	不仅能散风热
27800	29300	还能清热解毒
29300	31420	平时泡着喝也舒服
31420	32760	三 薄荷
32760	34840	散风热的效果特别快
34840	36260	还能清头目
36260	37480	缓解喉咙痛
37480	38940	平常在家时
38940	42380	用桑叶 菊花 薄荷各三至五克
42380	43680	泡一杯水喝
43680	46720	就是简单又管用的桑菊薄荷饮
46720	48020	喝一至两天
48020	50100	就能感觉到舒服不少
50100	52840	也可以搭配银桥解毒颗粒
52840	55060	莲花清温胶囊来调理
55060	56540	效果更好哦
56540	58520	另外 风热期间
58520	60480	还有几个小细节要注意
60480	62460	做好了恢复得更快
62460	64760	一 房间多开窗通风
64760	66200	保持空气流通
66200	67120	别闷着
67120	69240	闷着热血更散不出去
69760	69880	二
69880	69900	二
69900	69960	二
